goos: darwin
goarch: arm64
pkg: github.com/pelletier/go-toml/v2/benchmark
BenchmarkRealWorldContainerdConfig-8       	   50602	     21234 ns/op	 128.14 MB/s	   11007 B/op	     277 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   56492	     21217 ns/op	 128.25 MB/s	   11007 B/op	     277 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   54661	     21505 ns/op	 126.53 MB/s	   11006 B/op	     277 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   55480	     21191 ns/op	 128.40 MB/s	   11006 B/op	     277 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   57147	     21968 ns/op	 123.86 MB/s	   11007 B/op	     277 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   56455	     21653 ns/op	 125.66 MB/s	   11006 B/op	     277 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   55615	     21228 ns/op	 128.18 MB/s	   11005 B/op	     277 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   56642	     21420 ns/op	 127.03 MB/s	   11006 B/op	     277 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   55947	     21893 ns/op	 124.29 MB/s	   11006 B/op	     277 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   56552	     21523 ns/op	 126.43 MB/s	   11007 B/op	     277 allocs/op
BenchmarkRealWorldViperRead-8              	  159247	      7501 ns/op	  86.39 MB/s	    4516 B/op	     129 allocs/op
BenchmarkRealWorldViperRead-8              	  162280	      7476 ns/op	  86.68 MB/s	    4516 B/op	     129 allocs/op
BenchmarkRealWorldViperRead-8              	  160773	      7480 ns/op	  86.63 MB/s	    4516 B/op	     129 allocs/op
BenchmarkRealWorldViperRead-8              	  158518	      7980 ns/op	  81.21 MB/s	    4516 B/op	     129 allocs/op
BenchmarkRealWorldViperRead-8              	  155244	      7540 ns/op	  85.94 MB/s	    4516 B/op	     129 allocs/op
BenchmarkRealWorldViperRead-8              	  160160	      7518 ns/op	  86.20 MB/s	    4516 B/op	     129 allocs/op
BenchmarkRealWorldViperRead-8              	  160102	      7532 ns/op	  86.03 MB/s	    4516 B/op	     129 allocs/op
BenchmarkRealWorldViperRead-8              	  150477	      7842 ns/op	  82.64 MB/s	    4516 B/op	     129 allocs/op
BenchmarkRealWorldViperRead-8              	  157000	      7500 ns/op	  86.40 MB/s	    4516 B/op	     129 allocs/op
BenchmarkRealWorldViperRead-8              	  161500	      7491 ns/op	  86.50 MB/s	    4516 B/op	     129 allocs/op
BenchmarkRealWorldViperWrite-8             	  152676	      7974 ns/op	  81.14 MB/s	    3977 B/op	      58 allocs/op
BenchmarkRealWorldViperWrite-8             	  143704	      8051 ns/op	  80.37 MB/s	    3977 B/op	      58 allocs/op
BenchmarkRealWorldViperWrite-8             	  151794	      8265 ns/op	  78.28 MB/s	    3977 B/op	      58 allocs/op
BenchmarkRealWorldViperWrite-8             	  152244	      7917 ns/op	  81.72 MB/s	    3977 B/op	      58 allocs/op
BenchmarkRealWorldViperWrite-8             	  149785	      8038 ns/op	  80.50 MB/s	    3977 B/op	      58 allocs/op
BenchmarkRealWorldViperWrite-8             	  149359	      7993 ns/op	  80.94 MB/s	    3977 B/op	      58 allocs/op
BenchmarkRealWorldViperWrite-8             	  154155	      7890 ns/op	  82.01 MB/s	    3977 B/op	      58 allocs/op
BenchmarkRealWorldViperWrite-8             	  151406	      8192 ns/op	  78.98 MB/s	    3977 B/op	      58 allocs/op
BenchmarkRealWorldViperWrite-8             	  148957	      8033 ns/op	  80.55 MB/s	    3977 B/op	      58 allocs/op
BenchmarkRealWorldViperWrite-8             	  152792	      8051 ns/op	  80.36 MB/s	    3977 B/op	      58 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	   14574	     85476 ns/op	  92.42 MB/s	   45937 B/op	    1480 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	   13977	     83313 ns/op	  94.82 MB/s	   45937 B/op	    1480 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	   14592	     82259 ns/op	  96.04 MB/s	   45936 B/op	    1480 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	   14572	     81964 ns/op	  96.38 MB/s	   45936 B/op	    1480 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	   13719	     82019 ns/op	  96.32 MB/s	   45937 B/op	    1480 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	   14379	     81997 ns/op	  96.35 MB/s	   45937 B/op	    1480 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	   14644	     83123 ns/op	  95.04 MB/s	   45937 B/op	    1480 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	   13983	     82233 ns/op	  96.07 MB/s	   45937 B/op	    1480 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	   14676	     82019 ns/op	  96.32 MB/s	   45936 B/op	    1480 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	   14492	     81762 ns/op	  96.62 MB/s	   45935 B/op	    1480 allocs/op
BenchmarkRealWorldGitleaksRules-8          	   31694	     33143 ns/op	 103.88 MB/s	   14645 B/op	     431 allocs/op
BenchmarkRealWorldGitleaksRules-8          	   36792	     33086 ns/op	 104.06 MB/s	   14645 B/op	     431 allocs/op
BenchmarkRealWorldGitleaksRules-8          	   34849	     32914 ns/op	 104.61 MB/s	   14645 B/op	     431 allocs/op
BenchmarkRealWorldGitleaksRules-8          	   36812	     33071 ns/op	 104.11 MB/s	   14645 B/op	     431 allocs/op
BenchmarkRealWorldGitleaksRules-8          	   32557	     32953 ns/op	 104.48 MB/s	   14645 B/op	     431 allocs/op
BenchmarkRealWorldGitleaksRules-8          	   36474	     33484 ns/op	 102.83 MB/s	   14645 B/op	     431 allocs/op
BenchmarkRealWorldGitleaksRules-8          	   36243	     32789 ns/op	 105.00 MB/s	   14644 B/op	     431 allocs/op
BenchmarkRealWorldGitleaksRules-8          	   35490	     32907 ns/op	 104.63 MB/s	   14645 B/op	     431 allocs/op
BenchmarkRealWorldGitleaksRules-8          	   32352	     33370 ns/op	 103.18 MB/s	   14645 B/op	     431 allocs/op
BenchmarkRealWorldGitleaksRules-8          	   36775	     32873 ns/op	 104.74 MB/s	   14645 B/op	     431 allocs/op
BenchmarkRealWorldPyproject-8              	   91354	     12812 ns/op	  90.07 MB/s	    9350 B/op	     249 allocs/op
BenchmarkRealWorldPyproject-8              	   94760	     12721 ns/op	  90.71 MB/s	    9350 B/op	     249 allocs/op
BenchmarkRealWorldPyproject-8              	   94612	     13437 ns/op	  85.88 MB/s	    9351 B/op	     249 allocs/op
BenchmarkRealWorldPyproject-8              	   90008	     12724 ns/op	  90.69 MB/s	    9350 B/op	     249 allocs/op
BenchmarkRealWorldPyproject-8              	   94628	     12932 ns/op	  89.23 MB/s	    9350 B/op	     249 allocs/op
BenchmarkRealWorldPyproject-8              	   94455	     13255 ns/op	  87.06 MB/s	    9350 B/op	     249 allocs/op
BenchmarkRealWorldPyproject-8              	   86371	     13582 ns/op	  84.96 MB/s	    9350 B/op	     249 allocs/op
BenchmarkRealWorldPyproject-8              	   90014	     13403 ns/op	  86.10 MB/s	    9349 B/op	     249 allocs/op
BenchmarkRealWorldPyproject-8              	   87422	     13173 ns/op	  87.60 MB/s	    9351 B/op	     249 allocs/op
BenchmarkRealWorldPyproject-8              	   89128	     13064 ns/op	  88.33 MB/s	    9351 B/op	     249 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  199335	      6011 ns/op	 116.46 MB/s	    3145 B/op	      87 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  202160	      6039 ns/op	 115.91 MB/s	    3145 B/op	      87 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  197390	      6274 ns/op	 111.57 MB/s	    3145 B/op	      87 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  200256	      6084 ns/op	 115.06 MB/s	    3145 B/op	      87 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  203851	      5992 ns/op	 116.82 MB/s	    3145 B/op	      87 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  201258	      5990 ns/op	 116.86 MB/s	    3145 B/op	      87 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  197946	      6253 ns/op	 111.94 MB/s	    3145 B/op	      87 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  200503	      6066 ns/op	 115.40 MB/s	    3145 B/op	      87 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  201860	      6000 ns/op	 116.66 MB/s	    3145 B/op	      87 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  200628	      6046 ns/op	 115.78 MB/s	    3145 B/op	      87 allocs/op
PASS
ok  	github.com/pelletier/go-toml/v2/benchmark	102.577s
