goos: darwin
goarch: arm64
pkg: github.com/pelletier/go-toml/v2/benchmark
BenchmarkRealWorldContainerdConfig-8       	   38536	     28936 ns/op	  94.04 MB/s	   22395 B/op	     387 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   42450	     28145 ns/op	  96.68 MB/s	   22394 B/op	     387 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   44085	     27857 ns/op	  97.68 MB/s	   22394 B/op	     387 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   43317	     27563 ns/op	  98.72 MB/s	   22394 B/op	     387 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   43662	     28909 ns/op	  94.12 MB/s	   22393 B/op	     387 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   43126	     27472 ns/op	  99.04 MB/s	   22394 B/op	     387 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   42669	     27664 ns/op	  98.36 MB/s	   22392 B/op	     387 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   43077	     27731 ns/op	  98.12 MB/s	   22393 B/op	     387 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   43473	     29089 ns/op	  93.54 MB/s	   22394 B/op	     387 allocs/op
BenchmarkRealWorldContainerdConfig-8       	   43350	     27776 ns/op	  97.96 MB/s	   22393 B/op	     387 allocs/op
BenchmarkRealWorldViperRead-8              	  108110	     11112 ns/op	  58.32 MB/s	   10603 B/op	     193 allocs/op
BenchmarkRealWorldViperRead-8              	  108973	     11321 ns/op	  57.24 MB/s	   10602 B/op	     193 allocs/op
BenchmarkRealWorldViperRead-8              	  109312	     11456 ns/op	  56.56 MB/s	   10602 B/op	     193 allocs/op
BenchmarkRealWorldViperRead-8              	  108723	     11253 ns/op	  57.58 MB/s	   10603 B/op	     193 allocs/op
BenchmarkRealWorldViperRead-8              	  105897	     11125 ns/op	  58.25 MB/s	   10603 B/op	     193 allocs/op
BenchmarkRealWorldViperRead-8              	  109202	     11323 ns/op	  57.23 MB/s	   10603 B/op	     193 allocs/op
BenchmarkRealWorldViperRead-8              	  108804	     11069 ns/op	  58.54 MB/s	   10603 B/op	     193 allocs/op
BenchmarkRealWorldViperRead-8              	  108638	     11638 ns/op	  55.68 MB/s	   10602 B/op	     193 allocs/op
BenchmarkRealWorldViperRead-8              	  107877	     11089 ns/op	  58.44 MB/s	   10602 B/op	     193 allocs/op
BenchmarkRealWorldViperRead-8              	  109478	     11295 ns/op	  57.37 MB/s	   10602 B/op	     193 allocs/op
BenchmarkRealWorldViperWrite-8             	  130980	      9132 ns/op	  70.85 MB/s	    8776 B/op	     131 allocs/op
BenchmarkRealWorldViperWrite-8             	  127959	      9603 ns/op	  67.37 MB/s	    8776 B/op	     131 allocs/op
BenchmarkRealWorldViperWrite-8             	  129804	      9225 ns/op	  70.13 MB/s	    8776 B/op	     131 allocs/op
BenchmarkRealWorldViperWrite-8             	  121452	      9257 ns/op	  69.89 MB/s	    8776 B/op	     131 allocs/op
BenchmarkRealWorldViperWrite-8             	  127893	      9148 ns/op	  70.72 MB/s	    8776 B/op	     131 allocs/op
BenchmarkRealWorldViperWrite-8             	  127688	      9181 ns/op	  70.47 MB/s	    8776 B/op	     131 allocs/op
BenchmarkRealWorldViperWrite-8             	  132932	      9500 ns/op	  68.10 MB/s	    8776 B/op	     131 allocs/op
BenchmarkRealWorldViperWrite-8             	  120999	      9173 ns/op	  70.53 MB/s	    8776 B/op	     131 allocs/op
BenchmarkRealWorldViperWrite-8             	  131893	      9108 ns/op	  71.04 MB/s	    8776 B/op	     131 allocs/op
BenchmarkRealWorldViperWrite-8             	  131805	      9247 ns/op	  69.97 MB/s	    8776 B/op	     131 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	    8816	    138959 ns/op	  56.85 MB/s	  165521 B/op	    2490 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	    8060	    145717 ns/op	  54.21 MB/s	  165521 B/op	    2490 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	    8406	    138066 ns/op	  57.22 MB/s	  165521 B/op	    2490 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	    8838	    137756 ns/op	  57.35 MB/s	  165521 B/op	    2490 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	    8020	    138271 ns/op	  57.13 MB/s	  165521 B/op	    2490 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	    8768	    139664 ns/op	  56.56 MB/s	  165521 B/op	    2490 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	    8785	    142304 ns/op	  55.52 MB/s	  165521 B/op	    2490 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	    8827	    137860 ns/op	  57.30 MB/s	  165521 B/op	    2490 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	    8932	    138778 ns/op	  56.93 MB/s	  165521 B/op	    2490 allocs/op
BenchmarkRealWorldHugoFrontMatterBatch-8   	    8828	    140835 ns/op	  56.09 MB/s	  165521 B/op	    2490 allocs/op
BenchmarkRealWorldGitleaksRules-8          	   30571	     40586 ns/op	  84.83 MB/s	   28360 B/op	     397 allocs/op
BenchmarkRealWorldGitleaksRules-8          	   30717	     39635 ns/op	  86.87 MB/s	   28360 B/op	     397 allocs/op
BenchmarkRealWorldGitleaksRules-8          	   31021	     40416 ns/op	  85.19 MB/s	   28360 B/op	     397 allocs/op
