goos: linux
goarch: amd64
pkg: github.com/pelletier/go-toml/v2/benchmark
cpu: AMD Ryzen Threadripper PRO 3975WX 32-Cores     
BenchmarkUnmarshalDataset/config-8         	      21	  26208390 ns/op	  40.01 MB/s	 5716836 B/op	  219184 allocs/op
BenchmarkUnmarshalDataset/config-8         	      21	  26283657 ns/op	  39.90 MB/s	 5716845 B/op	  219184 allocs/op
BenchmarkUnmarshalDataset/config-8         	      21	  26200896 ns/op	  40.02 MB/s	 5716866 B/op	  219184 allocs/op
BenchmarkUnmarshalDataset/config-8         	      22	  28096292 ns/op	  37.32 MB/s	 5716849 B/op	  219184 allocs/op
BenchmarkUnmarshalDataset/config-8         	      22	  27827381 ns/op	  37.69 MB/s	 5716857 B/op	  219184 allocs/op
BenchmarkUnmarshalDataset/canada-8         	       5	 100788406 ns/op	  21.84 MB/s	79942796 B/op	  670379 allocs/op
BenchmarkUnmarshalDataset/canada-8         	       5	 110656126 ns/op	  19.89 MB/s	79942899 B/op	  670380 allocs/op
BenchmarkUnmarshalDataset/canada-8         	       6	  96282715 ns/op	  22.86 MB/s	79942778 B/op	  670379 allocs/op
BenchmarkUnmarshalDataset/canada-8         	       6	 108967290 ns/op	  20.20 MB/s	79942786 B/op	  670379 allocs/op
BenchmarkUnmarshalDataset/canada-8         	       5	 108825482 ns/op	  20.23 MB/s	79942748 B/op	  670379 allocs/op
BenchmarkUnmarshalDataset/citm_catalog-8   	      20	  36361143 ns/op	  15.35 MB/s	34469345 B/op	  178004 allocs/op
BenchmarkUnmarshalDataset/citm_catalog-8   	      14	  37473485 ns/op	  14.89 MB/s	34469688 B/op	  178004 allocs/op
BenchmarkUnmarshalDataset/citm_catalog-8   	      18	  39445165 ns/op	  14.15 MB/s	34469314 B/op	  178004 allocs/op
BenchmarkUnmarshalDataset/citm_catalog-8   	      16	  37279673 ns/op	  14.97 MB/s	34469336 B/op	  178004 allocs/op
BenchmarkUnmarshalDataset/citm_catalog-8   	      14	  38140312 ns/op	  14.63 MB/s	34469333 B/op	  178004 allocs/op
BenchmarkUnmarshalDataset/twitter-8        	      49	  14956517 ns/op	  29.54 MB/s	12530625 B/op	   55648 allocs/op
BenchmarkUnmarshalDataset/twitter-8        	      44	  15836825 ns/op	  27.90 MB/s	12530635 B/op	   55648 allocs/op
BenchmarkUnmarshalDataset/twitter-8        	      46	  15408664 ns/op	  28.68 MB/s	12530647 B/op	   55648 allocs/op
BenchmarkUnmarshalDataset/twitter-8        	      39	  15185031 ns/op	  29.10 MB/s	12530643 B/op	   55648 allocs/op
BenchmarkUnmarshalDataset/twitter-8        	      42	  16183917 ns/op	  27.30 MB/s	12530842 B/op	   55648 allocs/op
BenchmarkUnmarshalDataset/code-8           	       5	 116942719 ns/op	  22.95 MB/s	21263264 B/op	 1000520 allocs/op
BenchmarkUnmarshalDataset/code-8           	       5	 114678166 ns/op	  23.40 MB/s	21263267 B/op	 1000520 allocs/op
BenchmarkUnmarshalDataset/code-8           	       5	 119941848 ns/op	  22.38 MB/s	21263392 B/op	 1000521 allocs/op
